,index,summary,sentiment,sentiment_writing,Article_without_stopwords,After_lemmatization,pos_tags,senti_score,sentiment_class_swn
0,658,"The article discusses the visit made by the Minister for Information and Broadcasting and the Deputy Minister to the Directorate of Radio and Television headquarters in Juba. The ministers urged the staff to work diligently within the 100 day pledge made by the President, emphasizing the need for teamwork in order to achieve meaningful results. They also recognized the challenges faced by the organization and urged the staff to utilize what they have to deliver quality services to the people of South Sudan.",0,0,article discusses visit made minister information broadcasting deputy minister directorate radio television headquarters juba ministers urged staff work diligently within 100 day pledge made president emphasizing need teamwork order achieve meaningful results also recognized challenges faced organization urged staff utilize deliver quality services people south sudan ,discus visit made minister information broadcasting deputy minister directorate radio television headquarters juba minister urged staff work diligently within day pledge made president emphasizing need teamwork order achieve meaningful result also recognized challenge faced organization urged staff utilize deliver quality service people south sudan ,"[('discus', 'NN'), ('visit', 'NN'), ('made', 'VBD'), ('minister', 'NN'), ('information', 'NN'), ('broadcasting', 'VBG'), ('deputy', 'NN'), ('minister', 'NN'), ('directorate', 'NN'), ('radio', 'NN'), ('television', 'NN'), ('headquarters', 'NNS'), ('juba', 'VBP'), ('minister', 'NN'), ('urged', 'JJ'), ('staff', 'NN'), ('work', 'NN'), ('diligently', 'RB'), ('within', 'IN'), ('day', 'NN'), ('pledge', 'NN'), ('made', 'VBD'), ('president', 'NN'), ('emphasizing', 'VBG'), ('need', 'NN'), ('teamwork', 'NN'), ('order', 'NN'), ('achieve', 'VBP'), ('meaningful', 'JJ'), ('result', 'NN'), ('also', 'RB'), ('recognized', 'VBN'), ('challenge', 'NN'), ('faced', 'VBN'), ('organization', 'NN'), ('urged', 'VBN'), ('staff', 'NN'), ('utilize', 'JJ'), ('deliver', 'NN'), ('quality', 'NN'), ('service', 'NN'), ('people', 'NNS'), ('south', 'VBP'), ('sudan', 'JJ')]",1.0,Positive
1,825,The article discusses the establishment of air surveillance operations by the UN in Jonglei State to prevent potential attacks between the Lou Nuer and Murle communities. UN is monitoring the situation to prevent further violence and is providing support to the families in Pieri who were affected by the last weekend attacks. The UN officer met with the minister for Information and Broadcasting to discuss the security situation in Uror County of Jonglei State.,0,0,article discusses establishment air surveillance operations un jonglei state prevent potential attacks lou nuer murle communities un monitoring situation prevent violence providing support families pieri affected last weekend attacks un officer met minister information broadcasting discuss security situation uror county jonglei state ,discus establishment air surveillance operation jonglei state prevent potential attack lou nuer murle community monitoring situation prevent violence providing support family pieri affected last weekend attack officer met minister information broadcasting discus security situation uror county jonglei state ,"[('discus', 'NN'), ('establishment', 'NN'), ('air', 'NN'), ('surveillance', 'NN'), ('operation', 'NN'), ('jonglei', 'NN'), ('state', 'NN'), ('prevent', 'NN'), ('potential', 'JJ'), ('attack', 'NN'), ('lou', 'NN'), ('nuer', 'NN'), ('murle', 'NNP'), ('community', 'NN'), ('monitoring', 'VBG'), ('situation', 'NN'), ('prevent', 'NN'), ('violence', 'NN'), ('providing', 'VBG'), ('support', 'NN'), ('family', 'NN'), ('pieri', 'NN'), ('affected', 'VBD'), ('last', 'JJ'), ('weekend', 'NN'), ('attack', 'NN'), ('officer', 'NN'), ('met', 'VBD'), ('minister', 'NN'), ('information', 'NN'), ('broadcasting', 'VBG'), ('discus', 'JJ'), ('security', 'NN'), ('situation', 'NN'), ('uror', 'JJ'), ('county', 'NN'), ('jonglei', 'NN'), ('state', 'NN')]",-0.125,Negative
2,1083,"The article discusses the illegal detention of two journalists, Ngor Aguot Garang and Dengdit Ayok, who work for the Juba-based daily Destiny, which has been closed by the government. The reporters were arrested in Juba and are reportedly being held in a prison near Jebel Marra. No charges have been brought against them. Reporters Without Borders has condemned their detention and called for their immediate release, as well as the reopening of the newspaper. The incident highlights the risks that media personnel face in South Sudan, which lacks laws protecting journalists from arbitrary imprisonment.",-1,0,article discusses illegal detention two journalists ngor aguot garang dengdit ayok work juba based daily destiny closed government reporters arrested juba reportedly held inprison near jebel marra charges brought reporters without borders condemned detention called immediate release well reopening newspaper incident highlights risks media personnel face south sudan lacks laws protecting journalists arbitrary imprisonment ,discus illegal detention two journalist ngor aguot garang dengdit ayok work juba based daily destiny closed government reporter arrested juba reportedly held inprison near jebel marra charge brought reporter without border condemned detention called immediate release well reopening newspaper incident highlight risk medium personnel face south sudan lack law protecting journalist arbitrary imprisonment ,"[('discus', 'NN'), ('illegal', 'JJ'), ('detention', 'NN'), ('two', 'CD'), ('journalist', 'NN'), ('ngor', 'CC'), ('aguot', 'NN'), ('garang', 'NN'), ('dengdit', 'NN'), ('ayok', 'NN'), ('work', 'NN'), ('juba', 'NN'), ('based', 'VBN'), ('daily', 'RB'), ('destiny', 'NNS'), ('closed', 'VBD'), ('government', 'NN'), ('reporter', 'NN'), ('arrested', 'VBD'), ('juba', 'NNS'), ('reportedly', 'RB'), ('held', 'VBD'), ('inprison', 'NN'), ('near', 'IN'), ('jebel', 'NN'), ('marra', 'NN'), ('charge', 'NN'), ('brought', 'VBD'), ('reporter', 'NN'), ('without', 'IN'), ('border', 'NN'), ('condemned', 'VBN'), ('detention', 'NN'), ('called', 'VBN'), ('immediate', 'JJ'), ('release', 'NN'), ('well', 'RB'), ('reopening', 'VBG'), ('newspaper', 'NN'), ('incident', 'NN'), ('highlight', 'NN'), ('risk', 'NN'), ('medium', 'NN'), ('personnel', 'NNS'), ('face', 'VBP'), ('south', 'JJ'), ('sudan', 'JJ'), ('lack', 'NN'), ('law', 'NN'), ('protecting', 'VBG'), ('journalist', 'NN'), ('arbitrary', 'JJ'), ('imprisonment', 'NN')]",0.0,Neutral
3,1511,"The article discusses how the authorities in Khartoum, Sudan are conducting earth scorching search for IDPs and students for compulsory recruitment in militia armies, against protests from South Sudan government and the leadership of South Sudanese University Students Union in Juba. Rebel leaders George Athor and James Gai are supervising the forced recruitment of IDPs and university students to their ranks with the help of Khartoum authorities who have assigned special police contingent to capture the abled bodied persons. Students are abducted from university gates and taken to collection centres before their transportation in large military trucks availed by Sudan armed forces SAF. Many IDPs captured several weeks ago have been taken to the training camps leaving their families stranded in the transit camps.",-1,0,article discusses authorities khartoum sudan conducting earth scorching search idps students compulsory recruitment militia armies protests south sudan government leadership south sudanese university students union juba rebel leaders george athor james gai supervising forced recruitment idps university students ranks help khartoum authorities assigned special police contingent capture abled bodied persons students abducted university gates taken collection centres transportation large military trucks availed sudan armed forces saf many idps captured several weeks ago taken training camps leaving families stranded transit camps ,discus authority khartoum sudan conducting earth scorching search idp student compulsory recruitment militia army protest south sudan government leadership south sudanese university student union juba rebel leader george athor james gai supervising forced recruitment idp university student rank help khartoum authority assigned special police contingent capture abled bodied person student abducted university gate taken collection centre transportation large military truck availed sudan armed force saf many idp captured several week ago taken training camp leaving family stranded transit camp ,"[('discus', 'NN'), ('authority', 'NN'), ('khartoum', 'VBP'), ('sudan', 'NN'), ('conducting', 'VBG'), ('earth', 'JJ'), ('scorching', 'VBG'), ('search', 'NN'), ('idp', 'JJ'), ('student', 'NN'), ('compulsory', 'NN'), ('recruitment', 'NN'), ('militia', 'NN'), ('army', 'NN'), ('protest', 'NN'), ('south', 'NN'), ('sudan', 'JJ'), ('government', 'NN'), ('leadership', 'NN'), ('south', 'JJ'), ('sudanese', 'JJ'), ('university', 'NN'), ('student', 'NN'), ('union', 'NN'), ('juba', 'NN'), ('rebel', 'NN'), ('leader', 'NN'), ('george', 'NN'), ('athor', 'NN'), ('james', 'NNS'), ('gai', 'VBP'), ('supervising', 'VBG'), ('forced', 'VBN'), ('recruitment', 'NN'), ('idp', 'NN'), ('university', 'NN'), ('student', 'NN'), ('rank', 'NN'), ('help', 'NN'), ('khartoum', 'VB'), ('authority', 'NN'), ('assigned', 'VBN'), ('special', 'JJ'), ('police', 'NN'), ('contingent', 'NN'), ('capture', 'NN'), ('abled', 'VBD'), ('bodied', 'JJ'), ('person', 'NN'), ('student', 'NN'), ('abducted', 'VBD'), ('university', 'NN'), ('gate', 'NN'), ('taken', 'VBN'), ('collection', 'NN'), ('centre', 'NN'), ('transportation', 'NN'), ('large', 'JJ'), ('military', 'JJ'), ('truck', 'NN'), ('availed', 'VBD'), ('sudan', 'NN'), ('armed', 'VBN'), ('force', 'NN'), ('saf', 'VBD'), ('many', 'JJ'), ('idp', 'RB'), ('captured', 'VBD'), ('several', 'JJ'), ('week', 'NN'), ('ago', 'RB'), ('taken', 'VBN'), ('training', 'NN'), ('camp', 'NN'), ('leaving', 'VBG'), ('family', 'NN'), ('stranded', 'VBD'), ('transit', 'NN'), ('camp', 'NN')]",-0.125,Negative
4,1740,"The article discusses the celebration of the New Year in South Sudan, particularly in Juba and other major towns. Despite the ongoing tribal fighting in Pibor County of Jonglei State, people prayed for peace and appealed to God for wisdom for their leaders. The article emphasizes the importance of obeying the Ten Commandments and loving one another for peaceful coexistence in the new nation.",1,0,article discusses celebration new year south sudan particularly juba major towns despite ongoing tribal fighting pibor county jonglei state people prayed peace appealed god wisdom leaders article emphasizes importance obeying ten commandments loving one another peaceful coexistence new nation ,discus celebration new year south sudan particularly juba major town despite ongoing tribal fighting pibor county jonglei state people prayed peace appealed god wisdom leader article emphasizes importance obeying ten commandment loving one another peaceful coexistence new nation ,"[('discus', 'VB'), ('celebration', 'NN'), ('new', 'JJ'), ('year', 'NN'), ('south', 'JJ'), ('sudan', 'VBD'), ('particularly', 'RB'), ('juba', 'JJ'), ('major', 'JJ'), ('town', 'NN'), ('despite', 'IN'), ('ongoing', 'VBG'), ('tribal', 'JJ'), ('fighting', 'VBG'), ('pibor', 'NN'), ('county', 'NN'), ('jonglei', 'NN'), ('state', 'NN'), ('people', 'NNS'), ('prayed', 'VBD'), ('peace', 'NN'), ('appealed', 'VBD'), ('god', 'JJ'), ('wisdom', 'NN'), ('leader', 'NN'), ('article', 'NN'), ('emphasizes', 'VBZ'), ('importance', 'NN'), ('obeying', 'VBG'), ('ten', 'JJ'), ('commandment', 'NN'), ('loving', 'VBG'), ('one', 'CD'), ('another', 'DT'), ('peaceful', 'JJ'), ('coexistence', 'NN'), ('new', 'JJ'), ('nation', 'NN')]",2.25,Positive
5,1964,"The article discusses the recent fighting between the Lou Nuer and Murle tribes in Jonglei State, South Sudan, and suggests that the use of animals as economic activity may be contributing to the instability in the region. The author calls for a collective effort to campaign against cattle raiding and child abduction, and for community leaders to take responsibility for maintaining peace. The article also highlights the dangers of tribal hatred and the need for vigilance to avoid a Rwanda-like genocide. Ultimately, the author calls for the whole of South Sudan to work towards peace and development in the country.",-1,0,article discusses recent fighting lou nuer murle tribes jonglei state south sudan suggests use animals economic activity may contributing instability region author calls forcollective effort campaign cattle raiding child abduction community leaders take responsibility maintaining peace article also highlights dangers tribal hatred need vigilance avoidrwanda like genocide ultimately author calls whole south sudan work towards peace development country ,discus recent fighting lou nuer murle tribe jonglei state south sudan suggests use animal economic activity may contributing instability region author call forcollective effort campaign cattle raiding child abduction community leader take responsibility maintaining peace article also highlight danger tribal hatred need vigilance avoidrwanda like genocide ultimately author call whole south sudan work towards peace development country ,"[('discus', 'NN'), ('recent', 'JJ'), ('fighting', 'VBG'), ('lou', 'JJ'), ('nuer', 'JJ'), ('murle', 'NN'), ('tribe', 'NN'), ('jonglei', 'NN'), ('state', 'NN'), ('south', 'JJ'), ('sudan', 'NN'), ('suggests', 'VBZ'), ('use', 'VBP'), ('animal', 'JJ'), ('economic', 'JJ'), ('activity', 'NN'), ('may', 'MD'), ('contributing', 'VBG'), ('instability', 'NN'), ('region', 'NN'), ('author', 'NN'), ('call', 'NN'), ('forcollective', 'JJ'), ('effort', 'NN'), ('campaign', 'NN'), ('cattle', 'NNS'), ('raiding', 'VBG'), ('child', 'JJ'), ('abduction', 'NN'), ('community', 'NN'), ('leader', 'NN'), ('take', 'VB'), ('responsibility', 'NN'), ('maintaining', 'VBG'), ('peace', 'NN'), ('article', 'NN'), ('also', 'RB'), ('highlight', 'VBD'), ('danger', 'NN'), ('tribal', 'NN'), ('hatred', 'VBD'), ('need', 'JJ'), ('vigilance', 'NN'), ('avoidrwanda', 'NNS'), ('like', 'IN'), ('genocide', 'NN'), ('ultimately', 'RB'), ('author', 'IN'), ('call', 'JJ'), ('whole', 'JJ'), ('south', 'NN'), ('sudan', 'JJ'), ('work', 'NN'), ('towards', 'NNS'), ('peace', 'NN'), ('development', 'NN'), ('country', 'NN')]",-0.875,Negative
6,2773,"The article discusses the inauguration of Boma National Park Headquarters in Jonglei state of South Sudan, built with funding from USAID to promote security, stability, ecotourism, and economic growth. The park protects one of the largest savanna ecosystems in East Africa with numerous wildlife populations. USAID and the Wildlife Conservation Society are supporting South Sudan Wildlife Forces to conduct law enforcement and develop security partnerships for local communities. Protected area management is crucial for strengthening local government and improving security while also providing a sustainable foundation for economic growth.",1,0,article discusses inauguration boma national park headquarters jonglei state south sudan built funding usaid promote security stability ecotourism economic growth park protects one largest savanna ecosystems east africa numerous wildlife populations usaid wildlife conservation society supporting south sudan wildlife forces conduct law enforcement develop security partnerships local communities protected area management crucial strengthening local government improving security also providingsustainable foundation economic growth ,discus inauguration boma national park headquarters jonglei state south sudan built funding usaid promote security stability ecotourism economic growth park protects one largest savanna ecosystem east africa numerous wildlife population usaid wildlife conservation society supporting south sudan wildlife force conduct law enforcement develop security partnership local community protected area management crucial strengthening local government improving security also providingsustainable foundation economic growth ,"[('discus', 'NN'), ('inauguration', 'NN'), ('boma', 'IN'), ('national', 'JJ'), ('park', 'NN'), ('headquarters', 'NNS'), ('jonglei', 'VBP'), ('state', 'NN'), ('south', 'JJ'), ('sudan', 'NN'), ('built', 'VBN'), ('funding', 'NN'), ('usaid', 'JJ'), ('promote', 'NN'), ('security', 'NN'), ('stability', 'NN'), ('ecotourism', 'NN'), ('economic', 'JJ'), ('growth', 'NN'), ('park', 'NN'), ('protects', 'VBZ'), ('one', 'CD'), ('largest', 'JJS'), ('savanna', 'NN'), ('ecosystem', 'NN'), ('east', 'JJ'), ('africa', 'RB'), ('numerous', 'JJ'), ('wildlife', 'JJ'), ('population', 'NN'), ('usaid', 'JJ'), ('wildlife', 'NN'), ('conservation', 'NN'), ('society', 'NN'), ('supporting', 'VBG'), ('south', 'JJ'), ('sudan', 'JJ'), ('wildlife', 'NN'), ('force', 'NN'), ('conduct', 'NN'), ('law', 'NN'), ('enforcement', 'NN'), ('develop', 'VB'), ('security', 'NN'), ('partnership', 'NN'), ('local', 'JJ'), ('community', 'NN'), ('protected', 'VBD'), ('area', 'NN'), ('management', 'NN'), ('crucial', 'JJ'), ('strengthening', 'VBG'), ('local', 'JJ'), ('government', 'NN'), ('improving', 'VBG'), ('security', 'NN'), ('also', 'RB'), ('providingsustainable', 'JJ'), ('foundation', 'NN'), ('economic', 'JJ'), ('growth', 'NN')]",2.0,Positive
7,3014,"The article discusses the ongoing tension between Sudan and South Sudan. Sudanese foreign minister emphasizes that talks are the only way to settle disputes between the two nations, but warns that support for rebels must stop for peaceful relations. The recent attack on Heglig, which produces nearly half of Sudan's oil, has raised suspicions in both nations. While Juba claimed responsibility, sources suggest that Sudanese rebels may have been behind it. The article also highlights concerns for the impact of rebel groups and warns against the use of regime change tactics.",-1,0,article discusses ongoing tension sudan south sudan sudanese foreign minister emphasizes talks way settle disputes two nations warns support rebels must stop peaceful relations recent attack heglig produces nearly half sudanoil raised suspicions nations juba claimed responsibility sources suggest sudanese rebels may behind article also highlights concerns impact rebel groups warns use regime change tactics ,discus ongoing tension sudan south sudan sudanese foreign minister emphasizes talk way settle dispute two nation warns support rebel must stop peaceful relation recent attack heglig produce nearly half sudanoil raised suspicion nation juba claimed responsibility source suggest sudanese rebel may behind article also highlight concern impact rebel group warns use regime change tactic ,"[('discus', 'NN'), ('ongoing', 'VBG'), ('tension', 'NN'), ('sudan', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('sudanese', 'JJ'), ('foreign', 'JJ'), ('minister', 'NN'), ('emphasizes', 'VBZ'), ('talk', 'VB'), ('way', 'NN'), ('settle', 'JJ'), ('dispute', 'NN'), ('two', 'CD'), ('nation', 'NN'), ('warns', 'NNS'), ('support', 'NN'), ('rebel', 'NN'), ('must', 'MD'), ('stop', 'VB'), ('peaceful', 'NN'), ('relation', 'NN'), ('recent', 'JJ'), ('attack', 'NN'), ('heglig', 'NN'), ('produce', 'VBP'), ('nearly', 'RB'), ('half', 'JJ'), ('sudanoil', 'NN'), ('raised', 'VBN'), ('suspicion', 'NN'), ('nation', 'NN'), ('juba', 'NN'), ('claimed', 'VBD'), ('responsibility', 'NN'), ('source', 'NN'), ('suggest', 'VBP'), ('sudanese', 'JJ'), ('rebel', 'NN'), ('may', 'MD'), ('behind', 'VB'), ('article', 'NN'), ('also', 'RB'), ('highlight', 'VBD'), ('concern', 'NN'), ('impact', 'NN'), ('rebel', 'NN'), ('group', 'NN'), ('warns', 'VBZ'), ('use', 'NN'), ('regime', 'NN'), ('change', 'NN'), ('tactic', 'NN')]",-0.125,Negative
8,3190,"The article discusses the failure of South Sudan's national TV to broadcast the presence of its forces in the captured disputed town of Heglig or Panthou, depending on where you are. Technicians reported a technical problem preventing the display of pictures of the town after it was captured by the SPLA, leading some citizens to suspect an act of sabotage.",-1,0,article discusses failure south sudannational tv broadcast presence forces captured disputed town heglig panthou depending technicians reportedtechnical problem preventing display pictures town captured spla leading citizens suspect act sabotage ,discus failure south sudannational broadcast presence force captured disputed town heglig panthou depending technician reportedtechnical problem preventing display picture town captured spla leading citizen suspect act sabotage ,"[('discus', 'NN'), ('failure', 'NN'), ('south', 'JJ'), ('sudannational', 'JJ'), ('broadcast', 'NN'), ('presence', 'NN'), ('force', 'NN'), ('captured', 'VBD'), ('disputed', 'JJ'), ('town', 'NN'), ('heglig', 'NN'), ('panthou', 'NN'), ('depending', 'VBG'), ('technician', 'JJ'), ('reportedtechnical', 'JJ'), ('problem', 'NN'), ('preventing', 'VBG'), ('display', 'JJ'), ('picture', 'NN'), ('town', 'NN'), ('captured', 'VBD'), ('spla', 'JJ'), ('leading', 'VBG'), ('citizen', 'JJ'), ('suspect', 'JJ'), ('act', 'NN'), ('sabotage', 'NN')]",-1.25,Negative
9,3304,"The article discusses the need for balanced criticism of leaders in South Sudan, acknowledging their achievements while suggesting feasible solutions. The authors also argue that 'freedom fighters' are not untouchable and can be criticized, while advocating for responsible and solution-focused writing. They highlight the need for acknowledging the good alongside pointing out errors, and offer alternatives to criticizing without suggesting solutions.",0,0,article discusses need balanced criticism leaders south sudan acknowledging achievements suggesting feasible solutions authors also argue freedom fighters untouchable criticized advocating responsible solution focused writing highlight need acknowledging good alongside pointing errors offer alternatives criticizing without suggesting solutions ,discus need balanced criticism leader south sudan acknowledging achievement suggesting feasible solution author also argue freedom fighter untouchable criticized advocating responsible solution focused writing highlight need acknowledging good alongside pointing error offer alternative criticizing without suggesting solution ,"[('discus', 'NNS'), ('need', 'VBP'), ('balanced', 'JJ'), ('criticism', 'NN'), ('leader', 'NN'), ('south', 'NN'), ('sudan', 'VBD'), ('acknowledging', 'VBG'), ('achievement', 'NN'), ('suggesting', 'VBG'), ('feasible', 'JJ'), ('solution', 'NN'), ('author', 'NN'), ('also', 'RB'), ('argue', 'JJ'), ('freedom', 'NN'), ('fighter', 'RBR'), ('untouchable', 'JJ'), ('criticized', 'VBN'), ('advocating', 'VBG'), ('responsible', 'JJ'), ('solution', 'NN'), ('focused', 'VBD'), ('writing', 'VBG'), ('highlight', 'NN'), ('need', 'NN'), ('acknowledging', 'VBG'), ('good', 'JJ'), ('alongside', 'NN'), ('pointing', 'VBG'), ('error', 'NN'), ('offer', 'NN'), ('alternative', 'JJ'), ('criticizing', 'NN'), ('without', 'IN'), ('suggesting', 'VBG'), ('solution', 'NN')]",0.875,Positive
