,index,summary,sentiment,sentiment_writing,sentiment_score,sentiment_class_vader
0,658,"The article discusses the visit made by the Minister for Information and Broadcasting and the Deputy Minister to the Directorate of Radio and Television headquarters in Juba. The ministers urged the staff to work diligently within the 100 day pledge made by the President, emphasizing the need for teamwork in order to achieve meaningful results. They also recognized the challenges faced by the organization and urged the staff to utilize what they have to deliver quality services to the people of South Sudan.",0,0,0.3818,1.0
1,825,The article discusses the establishment of air surveillance operations by the UN in Jonglei State to prevent potential attacks between the Lou Nuer and Murle communities. UN is monitoring the situation to prevent further violence and is providing support to the families in Pieri who were affected by the last weekend attacks. The UN officer met with the minister for Information and Broadcasting to discuss the security situation in Uror County of Jonglei State.,0,0,-0.7351,-1.0
2,1083,"The article discusses the illegal detention of two journalists, Ngor Aguot Garang and Dengdit Ayok, who work for the Juba-based daily Destiny, which has been closed by the government. The reporters were arrested in Juba and are reportedly being held in a prison near Jebel Marra. No charges have been brought against them. Reporters Without Borders has condemned their detention and called for their immediate release, as well as the reopening of the newspaper. The incident highlights the risks that media personnel face in South Sudan, which lacks laws protecting journalists from arbitrary imprisonment.",-1,0,-0.8952,-1.0
3,1511,"The article discusses how the authorities in Khartoum, Sudan are conducting earth scorching search for IDPs and students for compulsory recruitment in militia armies, against protests from South Sudan government and the leadership of South Sudanese University Students Union in Juba. Rebel leaders George Athor and James Gai are supervising the forced recruitment of IDPs and university students to their ranks with the help of Khartoum authorities who have assigned special police contingent to capture the abled bodied persons. Students are abducted from university gates and taken to collection centres before their transportation in large military trucks availed by Sudan armed forces SAF. Many IDPs captured several weeks ago have been taken to the training camps leaving their families stranded in the transit camps.",-1,0,-0.5267,-1.0
4,1740,"The article discusses the celebration of the New Year in South Sudan, particularly in Juba and other major towns. Despite the ongoing tribal fighting in Pibor County of Jonglei State, people prayed for peace and appealed to God for wisdom for their leaders. The article emphasizes the importance of obeying the Ten Commandments and loving one another for peaceful coexistence in the new nation.",1,0,0.9442,1.0
5,1964,"The article discusses the recent fighting between the Lou Nuer and Murle tribes in Jonglei State, South Sudan, and suggests that the use of animals as economic activity may be contributing to the instability in the region. The author calls for a collective effort to campaign against cattle raiding and child abduction, and for community leaders to take responsibility for maintaining peace. The article also highlights the dangers of tribal hatred and the need for vigilance to avoid a Rwanda-like genocide. Ultimately, the author calls for the whole of South Sudan to work towards peace and development in the country.",-1,0,-0.836,-1.0
6,2773,"The article discusses the inauguration of Boma National Park Headquarters in Jonglei state of South Sudan, built with funding from USAID to promote security, stability, ecotourism, and economic growth. The park protects one of the largest savanna ecosystems in East Africa with numerous wildlife populations. USAID and the Wildlife Conservation Society are supporting South Sudan Wildlife Forces to conduct law enforcement and develop security partnerships for local communities. Protected area management is crucial for strengthening local government and improving security while also providing a sustainable foundation for economic growth.",1,0,0.9779,1.0
7,3014,"The article discusses the ongoing tension between Sudan and South Sudan. Sudanese foreign minister emphasizes that talks are the only way to settle disputes between the two nations, but warns that support for rebels must stop for peaceful relations. The recent attack on Heglig, which produces nearly half of Sudan's oil, has raised suspicions in both nations. While Juba claimed responsibility, sources suggest that Sudanese rebels may have been behind it. The article also highlights concerns for the impact of rebel groups and warns against the use of regime change tactics.",-1,0,-0.8765,-1.0
8,3190,"The article discusses the failure of South Sudan's national TV to broadcast the presence of its forces in the captured disputed town of Heglig or Panthou, depending on where you are. Technicians reported a technical problem preventing the display of pictures of the town after it was captured by the SPLA, leading some citizens to suspect an act of sabotage.",-1,0,-0.9201,-1.0
9,3304,"The article discusses the need for balanced criticism of leaders in South Sudan, acknowledging their achievements while suggesting feasible solutions. The authors also argue that 'freedom fighters' are not untouchable and can be criticized, while advocating for responsible and solution-focused writing. They highlight the need for acknowledging the good alongside pointing out errors, and offer alternatives to criticizing without suggesting solutions.",0,0,0.0212,0.0
10,3467,"The article discusses how the South Sudan Democratic Army (SSDA) launched Operation Ending Corruption and captured various locations, including Malakal, the capital city of Upper Nile State, and Fashoda County. They captured equipment and defeated a significant number of SPLA forces. The SSDA forces called for the evacuation of UN personnel and NGOs from Malakal, and urged civilians in Bor and Bentiu to leave as well. The article suggests that many SPLA soldiers are joining the ranks of the revolutionary forces to fight against corruption.",0,0,-0.296,-1.0
11,3531,"The article discusses the United Nations Security Council's adoption of a resolution calling for north and south Sudan to return to negotiations and end hostilities. The African Union Peace and Security Council requested UNSC's intervention and issued a communiqué outlining issues that Khartoum and Juba must reach a deal on post-independence including oil, border demarcation, citizenship, and Abyei. The article also mentions Sudan's opposition to UNSC intervention, Russia's support for the resolution, and China and Russia's resistance to reference Article 41 during negotiations. In addition, it notes that South Sudan will pull out troops from Abyei region, which the AU commended.",0,0,0.9136,1.0
12,3541,"The article discusses a relief aircraft belonging to the United Nations World Food Programme crashing while landing at Yambio airstrip in Western Equatoria State, South Sudan. Two passengers and a pilot were injured, while eight other passengers including a former minister of transport and bridges came out safely. The incident occurred on a WFP programme plane 5Y-NGO, and the pilots had been landing at Yambio Airport for a long time. The injuries were described as minor, and some Ugandan nationals who were on board were taken to Nzara Camp belonging to Uganda People's Defence Forces (UPDF) for treatment. This is the second time a plane crash has occurred in Yambio Air Strip after the Cargo Plane crashed in 1995.",-1,0,0.6249,1.0
13,3684,"The article discusses how South Sudan is complying with the United Nations Security Council resolution by withdrawing a significant number of police forces from the contested border region of Abyei. The resolution also demands that Juba and Khartoum return to the negotiating table to resolve a number of issues that arose from South Sudan's independence last year. The event marking the redeployment of the 700 police service out of Abyei was attended by the commander of the United Nations Interim Security Force for Abyei, General Tadese Werede Tasfey, and Inspector General of South Sudan Police Service, General Acuil Tito.",0,0,0.9246,1.0
